player_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,ev50,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa,year
"Bohm, Alec",664761,126,4.8,34.9,109.6,90.2,101.5,93.6,87.6,446,145,412.0,59,46.8,13,10.3,7.2,2020
"Schwarber, Kyle",656941,125,8.8,28.8,114.9,92.8,103.1,95.7,90.7,444,162,406.0,59,47.2,14,11.2,6.3,2020
"Turner, Justin",457759,125,17.5,40.8,107.8,90.3,99.4,93.1,87.0,436,203,404.0,55,44.0,14,11.2,8.0,2020
"Schoop, Jonathan",570731,125,8.7,26.4,114.4,87.2,100.2,92.9,86.9,442,137,408.0,42,33.6,7,5.6,4.0,2020
"Realmuto, J.T.",592663,125,11.6,32.8,112.4,90.2,101.3,95.5,87.2,431,163,397.0,53,42.4,17,13.6,8.7,2020
"Yelich, Christian",592885,124,7.1,32.3,112.0,94.0,103.8,97.1,91.5,460,163,413.0,69,55.6,15,12.1,6.1,2020
"Dubón, Mauricio",643289,124,16.7,40.3,106.3,86.2,96.6,89.7,82.8,416,190,380.0,38,30.6,5,4.0,2.8,2020
"Dickerson, Alex",543105,122,17.8,30.3,114.6,90.9,101.1,93.1,89.8,480,176,409.0,54,44.3,13,10.7,7.6,2020
"Severino, Pedro",600474,121,9.5,36.4,111.2,87.6,99.1,91.5,85.0,414,163,403.0,38,31.4,9,7.4,5.1,2020
"Margot, Manuel",622534,121,7.5,31.4,108.2,89.4,98.9,91.3,88.7,417,142,417.0,41,33.9,5,4.1,3.1,2020
"Akiyama, Shogo",673451,121,2.9,34.7,104.0,85.1,94.9,90.8,80.8,385,133,,32,26.4,1,0.8,0.5,2020
"Robles, Victor",645302,118,19.0,37.3,109.2,82.2,94.7,86.3,78.2,385,159,376.0,27,22.9,2,1.7,1.1,2020
"Hosmer, Eric",543333,117,8.7,33.3,112.0,90.8,102.0,94.4,88.9,443,167,408.0,55,47.0,12,10.3,7.7,2020
"d'Arnaud, Travis",518595,116,8.1,42.2,109.7,93.4,103.4,96.2,90.1,434,175,414.0,67,57.8,13,11.2,7.1,2020
"Perez, Salvador",521692,115,14.2,41.7,110.4,91.0,101.1,94.4,86.5,447,198,415.0,54,47.0,16,13.9,10.3,2020
"Frazier, Todd",453943,115,20.5,33.0,108.1,87.8,98.3,93.8,81.7,429,191,392.0,36,31.3,6,5.2,3.5,2020
"Gallo, Joey",608336,114,26.8,28.1,113.5,91.2,102.0,96.8,81.1,448,199,417.0,50,43.9,16,14.0,7.1,2020
"Shaw, Travis",543768,114,19.8,34.2,112.8,90.9,101.5,93.7,89.8,448,198,399.0,51,44.7,9,7.9,5.0,2020
"Belt, Brandon",474832,113,18.0,40.7,109.1,90.7,101.3,95.1,83.3,429,212,400.0,53,46.9,19,16.8,10.6,2020
"Heyward, Jason",518792,112,11.3,42.0,108.1,87.6,99.3,90.9,85.1,416,162,383.0,45,40.2,5,4.5,2.8,2020
"Ramos, Wilson",467092,112,6.5,26.8,110.1,89.0,101.0,94.6,86.6,440,147,409.0,47,42.0,8,7.1,5.2,2020
"Hampson, Garrett",641658,111,14.4,38.7,105.6,86.3,96.4,89.1,82.8,428,177,410.0,26,23.4,9,8.1,4.9,2020
"Galvis, Freddy",520471,111,13.6,27.0,107.7,87.0,96.5,92.5,82.9,400,157,375.0,31,27.9,5,4.5,3.1,2020
"Adames, Willy",642715,111,12.5,36.9,109.1,88.8,100.6,96.1,83.4,426,162,395.0,45,40.5,11,9.9,5.4,2020
"Dozier, Hunter",641531,110,17.0,26.4,110.3,86.4,98.3,89.4,86.5,442,171,406.0,34,30.9,9,8.2,4.8,2020
"Rosario, Amed",642708,109,4.2,30.3,107.8,86.5,97.6,89.1,85.4,434,131,399.0,36,33.0,4,3.7,2.7,2020
"Hernández, Enrique",571771,109,16.2,26.6,110.2,88.5,99.7,93.2,86.7,414,164,381.0,47,43.1,8,7.3,5.4,2020
"Lopes, Tim",621005,109,6.5,29.4,109.1,87.2,98.5,92.3,85.3,376,137,374.0,43,39.4,3,2.8,2.0,2020
"Valaika, Pat",642162,108,18.2,38.9,108.2,88.7,98.2,91.9,86.2,429,192,392.0,37,34.3,9,8.3,6.0,2020
"Hoskins, Rhys",656555,108,25.1,32.4,111.2,89.7,100.5,93.9,85.3,421,199,393.0,45,41.7,16,14.8,8.6,2020
"Piscotty, Stephen",572039,108,13.5,34.3,111.1,88.1,99.2,92.7,84.7,454,163,415.0,43,39.8,7,6.5,4.1,2020
"Tsutsugo, Yoshi",660294,108,17.2,25.0,108.9,90.2,100.5,95.2,88.4,437,171,395.0,51,47.2,10,9.3,5.4,2020
"Torres, Gleyber",650402,108,14.9,33.3,110.2,88.6,98.8,91.1,85.9,438,179,423.0,41,38.0,4,3.7,2.5,2020
"Mullins, Cedric",656775,107,15.9,23.4,110.2,88.6,98.5,92.5,87.4,427,126,402.0,34,31.8,3,2.8,2.0,2020
"Rojas, Miguel",500743,107,12.2,38.3,107.0,87.2,97.1,88.6,86.3,416,170,389.0,33,30.8,1,0.9,0.7,2020
"Markakis, Nick",455976,107,9.5,35.5,106.1,89.0,99.0,90.6,89.5,394,156,392.0,45,42.1,2,1.9,1.4,2020
"McMahon, Ryan",641857,107,9.2,27.1,109.7,90.1,101.2,95.5,85.7,451,168,418.0,46,43.0,12,11.2,6.2,2020
"DeJong, Paul",657557,106,21.7,41.5,105.5,89.2,99.0,93.3,83.8,409,201,395.0,43,40.6,8,7.5,4.6,2020
"Encarnación, Edwin",429665,106,22.8,29.2,112.9,85.4,98.6,92.4,79.1,448,186,408.0,35,33.0,14,13.2,7.7,2020
"Grandal, Yasmani",518735,105,15.6,38.1,110.5,90.3,99.9,95.3,84.9,441,189,408.0,46,43.8,8,7.6,4.1,2020
"García Jr., Luis",671277,105,-3.6,27.6,111.1,83.5,96.5,90.6,79.7,427,111,419.0,31,29.5,5,4.8,3.6,2020
"Moustakas, Mike",519058,105,16.3,36.2,111.7,88.8,100.0,93.0,84.4,421,199,391.0,42,40.0,10,9.5,6.1,2020
"Upton, Justin",457708,105,18.6,25.7,111.5,91.7,101.5,96.4,88.9,430,179,392.0,46,43.8,9,8.6,5.4,2020
"France, Ty",664034,104,14.8,44.2,108.2,85.7,97.1,91.5,81.1,446,176,425.0,31,29.8,9,8.7,5.8,2020
"Winker, Jesse",608385,104,10.5,37.5,113.0,92.1,101.6,95.3,89.5,447,176,392.0,51,49.0,14,13.5,7.7,2020
"Moreland, Mitch",519048,104,12.5,31.7,110.1,88.2,99.4,93.9,82.0,427,172,397.0,42,40.4,15,14.4,9.9,2020
"Murphy, Daniel",502517,103,15.5,35.9,109.6,85.1,95.4,86.9,86.8,410,164,389.0,26,25.2,5,4.9,3.8,2020
"Ohtani, Shohei",660271,103,9.2,32.0,111.9,89.1,100.1,94.1,84.3,439,154,402.0,44,42.7,11,10.7,6.3,2020
"Braun, Ryan",460075,103,15.3,35.9,110.2,89.8,100.3,92.6,90.3,426,173,397.0,42,40.8,12,11.7,8.5,2020
"Simmons, Andrelton",592743,102,6.0,27.5,105.8,86.5,96.4,87.8,89.0,359,113,,32,31.4,0,0.0,0.0,2020
"Arraez, Luis",650333,102,12.1,43.1,103.7,87.5,96.3,90.6,83.1,390,178,,31,30.4,4,3.9,3.3,2020
"Acuña Jr., Ronald",660670,100,18.1,34.0,114.8,92.3,105.3,99.5,84.9,495,206,414.0,56,56.0,16,16.0,7.9,2020
